#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=11318 vbv_bufsize=22636 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:31.43 aq:29.17 tex:60141 mv:16821 misc:3438 imb:78 pmb:1337 smb:6745 d:s ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:31.43 aq:32.35 tex:355 mv:762 misc:1939 imb:4 pmb:369 smb:7787 d:s ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:31.43 aq:32.61 tex:22299 mv:10410 misc:2635 imb:36 pmb:853 smb:7271 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:31.43 aq:24.45 tex:244376 mv:28372 misc:5660 imb:927 pmb:2730 smb:4503 d:s ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:31.43 aq:28.95 tex:56320 mv:15816 misc:3504 imb:85 pmb:1295 smb:6780 d:s ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:31.43 aq:28.71 tex:356 mv:835 misc:2041 imb:6 pmb:390 smb:7764 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:31.43 aq:31.91 tex:20377 mv:9976 misc:2567 imb:29 pmb:790 smb:7341 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:31.43 aq:24.61 tex:229052 mv:26847 misc:5525 imb:950 pmb:2696 smb:4514 d:s ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:31.43 aq:30.40 tex:30011 mv:13026 misc:3267 imb:56 pmb:1089 smb:7015 d:s ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:31.43 aq:31.11 tex:419 mv:1209 misc:1916 imb:3 pmb:368 smb:7789 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:31.43 aq:32.03 tex:20246 mv:9342 misc:2636 imb:29 pmb:789 smb:7342 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:31.43 aq:25.00 tex:159851 mv:22481 misc:5820 imb:632 pmb:2561 smb:4967 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:31.43 aq:31.62 tex:18734 mv:9911 misc:2579 imb:28 pmb:745 smb:7387 d:t ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:31.43 aq:26.50 tex:300 mv:1275 misc:1857 imb:7 pmb:361 smb:7792 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:31.43 aq:32.78 tex:493 mv:1115 misc:1856 imb:2 pmb:369 smb:7789 d:- ref:0 ;
in:49 out:48 type:P dur:2 cpbdur:2 q:31.43 aq:25.07 tex:186997 mv:22810 misc:5545 imb:650 pmb:2614 smb:4896 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:31.43 aq:32.35 tex:21470 mv:9779 misc:2511 imb:40 pmb:763 smb:7357 d:t ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:31.43 aq:24.50 tex:223223 mv:27253 misc:5572 imb:883 pmb:2743 smb:4534 d:s ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:31.43 aq:31.14 tex:37835 mv:13435 misc:3106 imb:72 pmb:1035 smb:7053 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:31.43 aq:27.56 tex:459 mv:1445 misc:1952 imb:10 pmb:394 smb:7756 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:31.43 aq:32.27 tex:27894 mv:9854 misc:2540 imb:45 pmb:766 smb:7349 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:31.43 aq:25.15 tex:165504 mv:23045 misc:5779 imb:646 pmb:2594 smb:4920 d:s ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:31.43 aq:31.06 tex:25988 mv:9745 misc:2683 imb:57 pmb:764 smb:7339 d:t ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:31.43 aq:27.18 tex:417 mv:1632 misc:1935 imb:6 pmb:396 smb:7758 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:31.43 aq:29.41 tex:315 mv:928 misc:2005 imb:2 pmb:414 smb:7744 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:31.43 aq:25.26 tex:196636 mv:25755 misc:5497 imb:804 pmb:2633 smb:4723 d:s ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:31.43 aq:29.70 tex:56716 mv:15072 misc:3540 imb:89 pmb:1331 smb:6740 d:s ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:31.43 aq:32.56 tex:26164 mv:10298 misc:2666 imb:51 pmb:801 smb:7308 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:31.43 aq:30.30 tex:419 mv:1013 misc:2016 imb:7 pmb:425 smb:7728 d:- ref:0 ;
in:63 out:62 type:P dur:2 cpbdur:2 q:31.43 aq:24.88 tex:203911 mv:25286 misc:5363 imb:677 pmb:2708 smb:4775 d:s ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:31.43 aq:32.61 tex:23795 mv:11698 misc:2571 imb:40 pmb:854 smb:7266 d:s ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:31.43 aq:24.94 tex:185318 mv:25809 misc:5465 imb:650 pmb:2681 smb:4829 d:s ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:31.43 aq:31.09 tex:29943 mv:13331 misc:2798 imb:48 pmb:950 smb:7162 d:t ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:31.43 aq:25.70 tex:374 mv:1190 misc:1876 imb:8 pmb:397 smb:7755 d:s ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:31.43 aq:29.12 tex:975 mv:1167 misc:1986 imb:4 pmb:420 smb:7736 d:- ref:0 ;
in:69 out:68 type:P dur:2 cpbdur:2 q:31.43 aq:24.97 tex:224592 mv:26249 misc:5511 imb:745 pmb:2649 smb:4766 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:31.43 aq:32.42 tex:35484 mv:13992 misc:2596 imb:67 pmb:945 smb:7148 d:t ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:31.43 aq:24.74 tex:258152 mv:30755 misc:5293 imb:1103 pmb:2692 smb:4365 d:s ref:0 ;
